region1,region2,signal_corr,noise_corr,noise_corr_ci_lower,noise_corr_ci_upper
LP,VISp,0.7338746317648935,0.24280112875343238,0.22486379318724706,0.2599454469433588
LP,VISl,0.7288492455532393,0.22755043331451127,0.2085474730896764,0.24605371909020238
LP,VISal,0.8707558046233626,0.21070951574511984,0.19223563286654372,0.22960186746927883
LP,VISam,0.7071807936067325,0.21272045412804996,0.19532502665288218,0.22895294818367892
LP,CA1,-0.019192742291398928,0.07451696796664994,0.06227286108486702,0.08540877347660578
LP,CA3,-0.10139325112591689,0.05308242657560541,0.0425912888996799,0.06388678034923151
VISp,VISl,0.7878215894624226,0.335800703926556,0.31932760889649836,0.3529493127565358
VISp,VISal,0.8489315312743192,0.24536074384138548,0.22604384500490668,0.2642913244362219
VISp,VISam,0.7743713764078975,0.4322173871707057,0.4134749111042247,0.45151568282348603
VISp,CA1,0.1441470538999899,0.06972560368063448,0.05752602523175179,0.0813707681533238
VISp,CA3,0.08626460627032838,0.037190358274421784,0.02691516943517728,0.04820097584981618
VISl,VISal,0.871337813624313,0.26187379390246684,0.24368515503083765,0.2795102635960199
VISl,VISam,0.7338708677347205,0.28459623340351964,0.26825233805893967,0.300236899866421
VISl,CA1,0.04936306156694933,0.0755568565721699,0.06404274044110607,0.08646543000567108
VISl,CA3,0.10230113474052019,0.050283814924338026,0.03965299779217792,0.06007924957478646
VISal,VISam,0.7298943953311008,0.2029679617233194,0.18541651722574165,0.22081071992975682
VISal,CA1,-0.10576846464280186,0.039784793332676156,0.02872927995113355,0.05096611357076945
VISal,CA3,-0.10009251632592535,0.03449174830244194,0.024967869688394772,0.04426040105647363
VISam,CA1,0.14758203322313196,0.054329208798867254,0.042458056974292085,0.06681173088934247
VISam,CA3,0.044953101870052456,0.028287053276785778,0.017539569486664075,0.03903515911573804
CA1,CA3,0.6558741095712595,0.18350862037657548,0.17212712177470577,0.1938085584368627
